,Concentration,Mean ARI,Mean height ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,Num seeds,Mean nasal splits,Stdev nasal splits,Samples,MaxCats
0,1.6e-07,0.15057049356012636,0.3522260597998489,0.060021956253287566,1.0,2.55,0.9205976319760985,1000,20,0.4,0.8154753215150046,250,6
1,0.16666666666666666,0.07062551675895848,0.2502308275823316,0.060867990582273886,0.95,3.55,1.3592277219068185,1000,20,0.95,1.4568802284333466,250,6
2,1.0,0.0684039399357886,0.24426921911833105,0.0605643962802182,0.95,3.6,1.4282856857085702,1000,20,0.95,1.4568802284333466,250,6
3,10.0,0.07127005466391696,0.2579789562724594,0.059079259026641816,0.95,3.85,1.351850583459577,1000,20,1.075,1.5554340230302282,250,6
4,100.0,0.07977165608818287,0.27705572492807984,0.054279517560872806,0.95,4.2,1.3266499161421599,1000,20,1.2,1.5684387141358125,250,6
5,1000.0,0.08411788432853783,0.27863802986641545,0.05017865759460852,0.95,4.8,1.0295630140987,1000,20,1.45,1.5960889699512368,250,6
6,10000.0,0.08607051920498476,0.2996199686439765,0.05490030151214882,0.95,4.55,1.0712142642814275,1000,20,1.475,1.6353516441426292,250,6
7,100000.0,0.08821408768895928,0.3093154976047677,0.056998335013984824,0.95,4.55,1.0712142642814275,1000,20,1.475,1.6353516441426292,250,6
0,1.6e-07,0.15057049356012636,0.3522260597998489,0.060021956253287566,1.0,2.55,0.9205976319760985,3000,20,0.4,0.8154753215150046,250,6
1,0.16666666666666666,0.07062551675895848,0.2502308275823316,0.060867990582273886,1.0,3.55,1.3592277219068185,3000,20,0.95,1.4568802284333466,250,6
2,1.0,0.0684039399357886,0.24426921911833105,0.0605643962802182,1.0,3.6,1.4282856857085702,3000,20,0.95,1.4568802284333466,250,6
3,10.0,0.07125353107711249,0.25801176340501203,0.05909592209816896,1.0,3.8,1.2884098726725126,3000,20,1.025,1.5081031131855671,250,6
4,100.0,0.07964704728199,0.27636393891195155,0.054450967235929536,1.0,4.2,1.3266499161421599,3000,20,1.2,1.5684387141358125,250,6
5,1000.0,0.08460747473807935,0.2804846743799182,0.05149062560609333,1.0,4.8,1.0295630140987,3000,20,1.475,1.5809411753762377,250,6
6,10000.0,0.08425327950200986,0.2922114752438223,0.056124947356592896,1.0,4.5,1.118033988749895,3000,20,1.45,1.6424067705656842,250,6
7,100000.0,0.08631701404871192,0.3028403688147342,0.058272657035850085,1.0,4.5,1.118033988749895,3000,20,1.45,1.6424067705656842,250,6
0,1.6e-07,0.07361369788132023,0.2857147146261712,0.056336154718537625,1.0,3.4,1.2409673645990855,1000,20,0.85,1.2854960132182442,300,6
1,0.16666666666666666,0.07357597014690036,0.2855876603369458,0.05628606983921434,1.0,3.4,1.2409673645990855,1000,20,0.85,1.2854960132182442,300,6
2,1.0,0.07428397368214504,0.28630983861132697,0.05690757187505398,1.0,3.45,1.2835497652993435,1000,20,0.85,1.2854960132182442,300,6
3,10.0,0.06898232507067184,0.27260449202500026,0.059637735047582276,0.85,3.45,1.2439855304624727,1000,20,0.9,1.4017845768876185,300,6
4,100.0,0.06903245226259289,0.25316314420879976,0.05507146229557152,0.95,3.85,1.061838029079765,1000,20,1.125,1.3997767679169422,300,6
5,1000.0,0.08721620796134186,0.3281739998625032,0.052667575980528125,0.9,4.55,0.7399324293474372,1000,20,1.325,1.3763629608500805,300,6
6,10000.0,0.09077437194708922,0.33022840668711345,0.04472728880894113,0.95,4.65,0.9096702699330128,1000,20,1.325,1.4210471491122312,300,6
7,100000.0,0.0921096269785688,0.3177148176393258,0.03834461269533857,0.9,4.75,0.8874119674649424,1000,20,1.425,1.5392774278862145,300,6
0,1.6e-07,0.07361369788132023,0.2857147146261712,0.056336154718537625,1.0,3.4,1.2409673645990855,3000,20,0.85,1.2854960132182442,300,6
1,0.16666666666666666,0.07357597014690036,0.2855876603369458,0.05628606983921434,1.0,3.4,1.2409673645990855,3000,20,0.85,1.2854960132182442,300,6
2,1.0,0.07428397368214504,0.28630983861132697,0.05690757187505398,1.0,3.45,1.2835497652993435,3000,20,0.85,1.2854960132182442,300,6
3,10.0,0.062254720288332614,0.2416596322767745,0.059153058385984676,1.0,3.35,1.351850583459577,3000,20,0.9,1.4017845768876185,300,6
4,100.0,0.07072321567893362,0.2665964463078568,0.05781313824252481,1.0,3.75,1.1346805717910218,3000,20,1.05,1.3774977313955912,300,6
5,1000.0,0.08786791926145196,0.33202285244698776,0.05317813308296064,1.0,4.45,0.8046738469715541,3000,20,1.225,1.359917276895915,300,6
6,10000.0,0.09123928583076504,0.3342471301092877,0.044907794923857616,1.0,4.65,0.9096702699330128,3000,20,1.325,1.4210471491122312,300,6
7,100000.0,0.09312817502709972,0.321510042560673,0.038974526734687896,1.0,4.6,1.1135528725660044,3000,20,1.325,1.5311351997782559,300,6
0,1.6e-07,0.07093985332874822,0.2644723024948417,0.056767323627646735,0.85,3.5,1.4317821063276353,1000,20,0.85,1.3332291625973385,350,6
1,0.16666666666666666,0.07083778433306623,0.26451675734179936,0.056720041379334715,0.85,3.5,1.4317821063276353,1000,20,0.85,1.3332291625973385,350,6
2,1.0,0.07080558988429819,0.26447820427086305,0.05686020079410677,0.85,3.5,1.4317821063276353,1000,20,0.875,1.3358050007392546,350,6
3,10.0,0.07476899444191851,0.2755055886598421,0.05550788534765353,0.85,3.75,1.4097872179871684,1000,20,0.95,1.3407087677791922,350,6
4,100.0,0.07807264966860933,0.2798770766957284,0.05384992846949465,0.85,3.75,1.299038105676658,1000,20,1.0,1.3874436925511608,350,6
5,1000.0,0.08568648756780298,0.28889458408070445,0.04224237196530077,0.95,4.2,1.2083045973594573,1000,20,1.2,1.452583904633395,350,6
6,10000.0,0.09974071150435447,0.3433291610315444,0.04230699152544865,0.8,4.3,1.0049875621120892,1000,20,1.1,1.3656500283747663,350,6
7,100000.0,0.10427812792667876,0.3541940100562964,0.03882775087467631,0.9,4.3,0.9539392014169455,1000,20,1.1,1.3747727084867518,350,6
0,1.6e-07,0.06920260886594276,0.25843664706303365,0.05739831710813476,1.0,3.4,1.4282856857085702,3000,20,0.85,1.3143439428094916,350,6
1,0.16666666666666666,0.0690994017263481,0.2585277828532927,0.05735996607697896,1.0,3.4,1.4282856857085702,3000,20,0.85,1.3143439428094916,350,6
2,1.0,0.06899021871178104,0.2583731282861852,0.057518836614051674,1.0,3.4,1.4282856857085702,3000,20,0.875,1.3169567191065925,350,6
3,10.0,0.07312797818700371,0.2684586001716928,0.056441589604597414,1.0,3.65,1.423903086589814,3000,20,0.95,1.3219304066402289,350,6
4,100.0,0.07707776475778624,0.2754391379250241,0.054924158448271004,1.0,3.75,1.299038105676658,3000,20,1.0,1.3874436925511608,350,6
5,1000.0,0.08567734902445341,0.2888630917890429,0.0422608842174958,1.0,4.05,1.3955285736952865,3000,20,1.125,1.4350522638566166,350,6
6,10000.0,0.09741080573717256,0.334083426757327,0.045020380010309294,1.0,4.25,0.9937303457175896,3000,20,1.075,1.3488420960216212,350,6
7,100000.0,0.10256087026496652,0.3471815276725245,0.0398686412380804,1.0,4.3,0.9539392014169455,3000,20,1.125,1.381801360543548,350,6
0,1.6e-07,0.08212651832898905,0.30809117107618195,0.049065863295251436,0.95,3.9,1.1357816691600546,1000,20,0.875,1.2784267675545595,400,6
1,0.16666666666666666,0.08219969828729794,0.3078402089273038,0.0492041459105641,0.95,3.9,1.1357816691600546,1000,20,0.875,1.2784267675545595,400,6
2,1.0,0.0823780475941582,0.3071442041039536,0.050250248679141615,0.95,3.95,1.116915395184434,1000,20,0.875,1.2784267675545595,400,6
3,10.0,0.07943722575757857,0.300111240392695,0.05200077406390615,0.9,3.95,1.116915395184434,1000,20,0.925,1.320747894187229,400,6
4,100.0,0.07473508026807564,0.2951688940225433,0.053167418943963166,0.9,3.95,1.16081867662439,1000,20,0.95,1.2932517156377563,400,6
5,1000.0,0.08799067000478046,0.3384866706392696,0.04403821932412025,0.85,4.75,0.9937303457175896,1000,20,1.475,1.7605041891458255,400,6
6,10000.0,0.09868290443692444,0.3802977600158007,0.042562543667692,1.0,5.05,0.9205976319760986,1000,20,1.925,1.9024655056005615,400,6
7,100000.0,0.09848283156098404,0.38052200929564256,0.041913565520888325,1.0,5.0,1.0,1000,20,1.9,1.9595917942265424,400,6
0,1.6e-07,0.08121585589278704,0.3002671088945573,0.0480850508372682,1.0,3.9,1.1357816691600546,3000,20,0.875,1.2784267675545595,400,6
1,0.16666666666666666,0.08117674745593594,0.2999082983232081,0.04808065553412845,1.0,3.9,1.1357816691600546,3000,20,0.875,1.2784267675545595,400,6
2,1.0,0.08075849524559889,0.29725386838586243,0.048338700360614016,1.0,3.9,1.1357816691600546,3000,20,0.875,1.2784267675545595,400,6
